"review_id","effect_size_id","within_effect_id","study_author","study_year","study_first_page_number","study_n","estimate","metric","lower_ci","upper_ci","standard_error","standard_deviation","variance","p_value","n_intervention","n_control","number_of_events_in_exposure_for_or_rr","number_of_events_in_comparison_for_or_rr","reverse_code","study_name","converted_metric","r_ci_lower","r_ci_upper","r_estimate","z_estimate","z_ci_lower","z_ci_upper","tar_group"
47569,"47569_001","47569_001_001","García-Hermoso","2017","44",199,-0.84,"Cohen's d",-1.17,-0.51,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"García-Hermoso 2017","d",-0.504943986286787,-0.247092907252396,-0.387232484355092,-0.408540207829808,-0.555920021446488,-0.252314305067695,48
47569,"47569_001","47569_001_002","García-Hermoso","2017","44",196,-0.18,"Cohen's d",-0.48,0.11,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"García-Hermoso 2017","d",-0.233372952475324,0.0549170007571355,-0.0896376994958906,-0.0898789407439468,-0.2377537491524,0.0549723085118352,48
47569,"47569_001","47569_001_003","Kiatrungrit","2014","216",768,-0.08,"Cohen's d",-0.22,0.06,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Kiatrungrit 2014","d",-0.109340479152898,0.029986509105671,-0.0399680383488716,-0.039989341006027,-0.109779365920543,0.0299955018215243,48
47569,"47569_001","47569_001_004","Morita","2016","161",163,-0.5,"Cohen's d",-0.81,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Morita 2016","d",-0.375382367719639,-0.0896376994958906,-0.242535625036333,-0.247466461547263,-0.394673691445097,-0.0898789407439468,48
47569,"47569_001","47569_001_005","Morita","2016","161",152,-0.07,"Cohen's d",-0.39,0.25,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Morita 2016","d",-0.191395051403356,0.124034734589208,-0.0349785821756186,-0.0349928581029374,-0.193784867221876,0.124676746921443,48
47569,"47569_001","47569_001_006","Peiró-Velert","2014","e99478",3095,-1.32,"Cohen's d",-1.39,-1.24,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Peiró-Velert 2014","d",-0.570703542719624,-0.526939668861675,-0.550842208330739,-0.619589583723484,-0.648565595735253,-0.585898932259168,48
47569,"47569_001","47569_001_007","Regondola","2017","216",728,-1.8,"Cohen's d",-3.35,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.858621611902289,-0.124034734589208,-0.66896473162245,-0.808866935652782,-1.28807526181845,-0.124676746921443,48
47569,"47569_001","47569_001_008","Regondola","2017","216",728,-0.26,"Cohen's d",-1.31,0.79,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.547925341135106,0.367378285083804,-0.128915230254621,-0.12963659033633,-0.615411741536717,0.385388944086563,48
47569,"47569_001","47569_001_009","Regondola","2017","216",728,-0.39,"Cohen's d",-1.71,0.93,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.649851977239793,0.421644063169986,-0.191395051403356,-0.193784867221876,-0.775042432428754,0.449689892515991,48
47569,"47569_001","47569_001_010","Regondola","2017","216",728,0.72,"Cohen's d",-0.21,1.65,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.104425930003996,0.636382954795564,0.338719468272742,0.3526453302527,-0.104808013476227,0.752071164757003,48
